ID,TEMP,REL HUMIDITY,DEW POINT,CO2,CH4,SO2,NH3,O3,O2,PM 2_5,PM_10,Avg_AQI
4948,27.81,73.16,19.15,0.1768,1.2477,0.62,6.91,1.1696,0.0269,0.3908,215,37.5702
4949,27.8,73.16,19.14,0.177,1.2884,0.71,6.87,1.17,0.0269,0.4265,216,37.68764444
4950,27.81,73.19,19.15,0.1763,1.2477,0.7,6.77,1.1705,0.027,0.4276,216,37.68878889
4951,27.81,73.16,19.15,0.1768,1.248,0.72,6.86,1.1698,0.027,0.4256,216,37.68524444
4952,27.8,73.13,19.13,0.1744,1.1789,0.78,6.75,1.1682,0.0268,0.4255,217,37.78153333
4953,27.79,73.19,19.14,0.176,1.241,0.75,6.77,1.1653,0.0268,0.4244,217,37.79483333
4954,27.81,73.19,19.15,0.1782,1.1833,0.71,6.75,1.1658,0.0269,0.4249,217,37.79212222
4955,27.82,73.19,19.16,0.1769,1.2465,0.71,6.87,1.1673,0.0269,0.4265,218,37.91267778
4956,27.81,73.22,19.16,0.1775,1.2454,0.72,6.68,1.1693,0.027,0.4245,219,38.02596667
4957,27.8,73.22,19.15,0.1752,1.2459,0.74,7.06,1.1681,0.0271,0.4272,220,38.13483333
4958,27.81,73.22,19.16,0.1774,1.2479,0.62,6.69,1.1676,0.027,0.4248,220,38.13718889
4959,27.82,73.22,19.17,0.1732,1.2877,0.64,6.92,1.1672,0.0269,0.4274,222,38.36582222
4960,27.82,73.25,19.17,0.1768,1.2477,0.66,6.93,1.167,0.0269,0.4259,222,38.36492222
4961,27.81,73.25,19.16,0.1769,1.2465,0.72,6.77,1.1678,0.0269,0.4254,222,38.36261111
4962,27.8,73.22,19.15,0.1761,1.2483,0.67,7.18,1.1683,0.027,0.426,224,38.57952222
4963,27.81,73.19,19.15,0.1761,1.2479,0.68,6.96,1.1691,0.0269,0.4253,225,38.68836667
4964,27.81,73.22,19.16,0.1767,1.2885,0.69,6.89,1.1703,0.027,0.4267,227,38.91991111
4965,27.81,73.22,19.16,0.1785,1.2475,0.75,6.91,1.1694,0.0269,0.4275,227,38.91553333
4966,27.81,73.19,19.15,0.1772,1.2467,0.71,6.78,1.1693,0.027,0.4253,227,38.91061111
4967,27.81,73.19,19.15,0.1775,1.248,0.65,6.91,1.1701,0.0269,0.4271,227,38.91106667
4968,27.81,73.19,19.15,0.1727,1.2462,0.67,6.88,1.1702,0.027,0.4261,227,38.91024444
4969,27.82,73.19,19.16,0.1774,1.2467,0.68,6.94,1.1665,0.0269,0.4247,227,38.91246667
